GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",,
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",1658,172
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",1011,174
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",1468,157
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",1287,109
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",1196,152
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",1184,147
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1243,89
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1336,140
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",1142,78
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",1169,56
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",1333,87
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",945,71
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",896,77
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",810,185
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",1077,93
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",1107,232
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",917,103
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",929,210
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",893,111
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",394,291
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",764,147
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",1120,178
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",770,116
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",780,59
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",473,118
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",833,136
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",1493,236
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",1047,52
1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California",971,58
1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California",1239,94
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",1195,55
1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California",1171,52
1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California",1415,219
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",1423,99
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",1231,97
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",1217,42
1400000US06001404101,06001404101,"Census Tract 4041.01, Alameda County, California",1325,145
1400000US06001404102,06001404102,"Census Tract 4041.02, Alameda County, California",1163,76
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",1854,203
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",1738,358
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",,
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",1917,342
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",,
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",,
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",1926,488
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",1014,106
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",1191,138
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",1557,194
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",1457,273
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",1361,86
1400000US06001405301,06001405301,"Census Tract 4053.01, Alameda County, California",1200,77
1400000US06001405302,06001405302,"Census Tract 4053.02, Alameda County, California",891,48
1400000US06001405401,06001405401,"Census Tract 4054.01, Alameda County, California",942,38
1400000US06001405402,06001405402,"Census Tract 4054.02, Alameda County, California",992,78
1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California",1117,69
1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California",1006,81
1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California",1021,106
1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California",1152,112
1400000US06001405901,06001405901,"Census Tract 4059.01, Alameda County, California",920,85
1400000US06001405902,06001405902,"Census Tract 4059.02, Alameda County, California",963,55
1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California",947,125
1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California",1249,116
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",971,90
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",943,34
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",883,138
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",1445,252
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",1099,60
1400000US06001406601,06001406601,"Census Tract 4066.01, Alameda County, California",1242,85
1400000US06001406602,06001406602,"Census Tract 4066.02, Alameda County, California",939,127
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",1276,286
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",1374,179
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",1290,127
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",1180,216
1400000US06001407101,06001407101,"Census Tract 4071.01, Alameda County, California",969,111
1400000US06001407102,06001407102,"Census Tract 4071.02, Alameda County, California",986,123
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",963,62
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",1362,283
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",983,99
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",940,66
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",909,132
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",1712,588
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",1125,249
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",,
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",,
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",1689,323
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",1081,75
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",1053,235
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",1176,266
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",1269,129
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",1146,140
1400000US06001408700,06001408700,"Census Tract 4087, Alameda County, California",1198,111
1400000US06001408800,06001408800,"Census Tract 4088, Alameda County, California",845,85
1400000US06001408900,06001408900,"Census Tract 4089, Alameda County, California",1000,185
1400000US06001409000,06001409000,"Census Tract 4090, Alameda County, California",1397,68
1400000US06001409100,06001409100,"Census Tract 4091, Alameda County, California",1299,471
1400000US06001409200,06001409200,"Census Tract 4092, Alameda County, California",1181,118
1400000US06001409300,06001409300,"Census Tract 4093, Alameda County, California",1082,78
1400000US06001409400,06001409400,"Census Tract 4094, Alameda County, California",1224,124
1400000US06001409500,06001409500,"Census Tract 4095, Alameda County, California",992,101
1400000US06001409600,06001409600,"Census Tract 4096, Alameda County, California",1168,87
1400000US06001409700,06001409700,"Census Tract 4097, Alameda County, California",1057,164
1400000US06001409800,06001409800,"Census Tract 4098, Alameda County, California",869,93
1400000US06001409900,06001409900,"Census Tract 4099, Alameda County, California",1402,61
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California",,
1400000US06001410100,06001410100,"Census Tract 4101, Alameda County, California",1089,322
1400000US06001410200,06001410200,"Census Tract 4102, Alameda County, California",1046,105
1400000US06001410300,06001410300,"Census Tract 4103, Alameda County, California",1149,64
1400000US06001410400,06001410400,"Census Tract 4104, Alameda County, California",1352,100
1400000US06001410500,06001410500,"Census Tract 4105, Alameda County, California",533,134
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California",,
