GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California","$2,000+",$***
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California","$2,000+",$***
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California","$2,000+",$***
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California","$2,000+",$***
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California","$2,000+",$***
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California","$2,000+",$***
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California","$2,000+",$***
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California","$2,000+",$***
1400000US06001421100,06001421100,"Census Tract 4211, Alameda County, California","$2,000+",$***
1400000US06001422600,06001422600,"Census Tract 4226, Alameda County, California",$-,$**
1400000US06001423800,06001423800,"Census Tract 4238, Alameda County, California","$2,000+",$***
1400000US06001426100,06001426100,"Census Tract 4261, Alameda County, California","$2,000+",$***
1400000US06001428301,06001428301,"Census Tract 4283.01, Alameda County, California","$2,000+",$***
1400000US06001428302,06001428302,"Census Tract 4283.02, Alameda County, California","$2,000+",$***
1400000US06001430101,06001430101,"Census Tract 4301.01, Alameda County, California","$2,000+",$***
1400000US06001430200,06001430200,"Census Tract 4302, Alameda County, California","$2,000+",$***
1400000US06001435103,06001435103,"Census Tract 4351.03, Alameda County, California","$2,000+",$***
1400000US06001436402,06001436402,"Census Tract 4364.02, Alameda County, California","$2,000+",$***
1400000US06001440305,06001440305,"Census Tract 4403.05, Alameda County, California","$2,000+",$***
1400000US06001440332,06001440332,"Census Tract 4403.32, Alameda County, California","$2,000+",$***
1400000US06001440334,06001440334,"Census Tract 4403.34, Alameda County, California","$2,000+",$***
1400000US06001441402,06001441402,"Census Tract 4414.02, Alameda County, California","$2,000+",$***
1400000US06001441501,06001441501,"Census Tract 4415.01, Alameda County, California","$2,000+",$***
1400000US06001441503,06001441503,"Census Tract 4415.03, Alameda County, California","$2,000+",$***
1400000US06001441521,06001441521,"Census Tract 4415.21, Alameda County, California","$2,000+",$***
1400000US06001442000,06001442000,"Census Tract 4420, Alameda County, California",$-,$**
1400000US06001442100,06001442100,"Census Tract 4421, Alameda County, California","$2,000+",$***
1400000US06001442200,06001442200,"Census Tract 4422, Alameda County, California","$2,000+",$***
1400000US06001443102,06001443102,"Census Tract 4431.02, Alameda County, California","$2,000+",$***
1400000US06001443103,06001443103,"Census Tract 4431.03, Alameda County, California","$2,000+",$***
1400000US06001443105,06001443105,"Census Tract 4431.05, Alameda County, California","$2,000+",$***
1400000US06001443200,06001443200,"Census Tract 4432, Alameda County, California","$2,000+",$***
1400000US06001443301,06001443301,"Census Tract 4433.01, Alameda County, California","$2,000+",$***
1400000US06001443322,06001443322,"Census Tract 4433.22, Alameda County, California","$2,000+",$***
1400000US06001444601,06001444601,"Census Tract 4446.01, Alameda County, California","$2,000+",$***
1400000US06001450101,06001450101,"Census Tract 4501.01, Alameda County, California","$2,000+",$***
